cambio_precio_key,fecha_key,fecha,mes,nombre_mes,trimestre,anio,anio_mes,item_menu_key,item_menu_id,nombre_item,categoria_item,cocina_item,disponible_item,restaurante_key,restaurante_id,nombre_restaurante,cocina_restaurante,ciudad_restaurante,pais_restaurante,precio_anterior,precio_nuevo,monto_cambio,porcentaje_cambio
1,20250518,2025-05-18,5,May,2,2025,2025-05,0,1,Kung Pao Chicken,Main Course,Chinese,1,0,1,Bangalore Lotus Table,Chinese,Bangalore,India,35.71,36.91,1.2,3.36
2,20251224,2025-12-24,12,December,4,2025,2025-12,0,1,Kung Pao Chicken,Main Course,Chinese,1,0,1,Bangalore Lotus Table,Chinese,Bangalore,India,36.91,40.12,3.21,8.7
3,20250110,2025-01-10,1,January,1,2025,2025-01,1,2,Sweet and Sour Pork,Main Course,Chinese,1,0,1,Bangalore Lotus Table,Chinese,Bangalore,India,16.07,16.07,0.0,0.0
4,20251130,2025-11-30,11,November,4,2025,2025-11,1,2,Sweet and Sour Pork,Main Course,Chinese,1,0,1,Bangalore Lotus Table,Chinese,Bangalore,India,16.07,17.86,1.79,11.14
5,20241015,2024-10-15,10,October,4,2024,2024-10,2,3,Fried Rice,Specialty,Chinese,0,0,1,Bangalore Lotus Table,Chinese,Bangalore,India,13.75,16.07,2.32,16.87
6,20260401,2026-04-01,4,April,2,2026,2026-04,2,3,Fried Rice,Specialty,Chinese,0,0,1,Bangalore Lotus Table,Chinese,Bangalore,India,16.07,17.86,1.79,11.14
7,20250703,2025-07-03,7,July,3,2025,2025-07,3,4,Chow Mein,Specialty,Chinese,1,0,1,Bangalore Lotus Table,Chinese,Bangalore,India,21.89,21.65,-0.24,-1.1
8,20251030,2025-10-30,10,October,4,2025,2025-10,3,4,Chow Mein,Specialty,Chinese,1,0,1,Bangalore Lotus Table,Chinese,Bangalore,India,21.65,24.6,2.95,13.63
9,20250602,2025-06-02,6,June,2,2025,2025-06,4,5,Steamed Dumplings,Dessert,Chinese,1,0,1,Bangalore Lotus Table,Chinese,Bangalore,India,26.07,27.94,1.87,7.17
10,20251231,2025-12-31,12,December,4,2025,2025-12,4,5,Steamed Dumplings,Dessert,Chinese,1,0,1,Bangalore Lotus Table,Chinese,Bangalore,India,27.94,31.04,3.1,11.1
11,20250308,2025-03-08,3,March,1,2025,2025-03,5,6,Mapo Tofu,Dessert,Chinese,1,0,1,Bangalore Lotus Table,Chinese,Bangalore,India,28.93,32.06,3.13,10.82
12,20260302,2026-03-02,3,March,1,2026,2026-03,5,6,Mapo Tofu,Dessert,Chinese,1,0,1,Bangalore Lotus Table,Chinese,Bangalore,India,32.06,34.85,2.79,8.7
13,20241004,2024-10-04,10,October,4,2024,2024-10,6,7,Peking Duck,Side Dish,Chinese,1,0,1,Bangalore Lotus Table,Chinese,Bangalore,India,23.28,27.32,4.04,17.35
14,20260720,2026-07-20,7,July,3,2026,2026-07,6,7,Peking Duck,Side Dish,Chinese,1,0,1,Bangalore Lotus Table,Chinese,Bangalore,India,27.32,31.04,3.72,13.62
15,20241018,2024-10-18,10,October,4,2024,2024-10,7,8,Hot and Sour Soup,Side Dish,Chinese,1,0,1,Bangalore Lotus Table,Chinese,Bangalore,India,18.26,21.59,3.33,18.24
16,20251117,2025-11-17,11,November,4,2025,2025-11,7,8,Hot and Sour Soup,Side Dish,Chinese,1,0,1,Bangalore Lotus Table,Chinese,Bangalore,India,21.59,23.72,2.13,9.87
17,20250107,2025-01-07,1,January,1,2025,2025-01,8,9,Spring Rolls,Beverage,Chinese,1,0,1,Bangalore Lotus Table,Chinese,Bangalore,India,26.09,25.51,-0.58,-2.22
18,20251216,2025-12-16,12,December,4,2025,2025-12,8,9,Spring Rolls,Beverage,Chinese,1,0,1,Bangalore Lotus Table,Chinese,Bangalore,India,25.51,28.99,3.48,13.64
19,20250407,2025-04-07,4,April,2,2025,2025-04,9,10,General Tso Chicken,Beverage,Chinese,1,0,1,Bangalore Lotus Table,Chinese,Bangalore,India,17.63,18.45,0.82,4.65
20,20260722,2026-07-22,7,July,3,2026,2026-07,9,10,General Tso Chicken,Beverage,Chinese,1,0,1,Bangalore Lotus Table,Chinese,Bangalore,India,18.45,20.5,2.05,11.11
21,20250509,2025-05-09,5,May,2,2025,2025-05,10,11,Pho Bo,Main Course,Vietnamese,1,1,2,New York Lotus Leaf Kitchen & Bar,Vietnamese,New York,United States,27.46,31.69,4.23,15.4
22,20260709,2026-07-09,7,July,3,2026,2026-07,10,11,Pho Bo,Main Course,Vietnamese,1,1,2,New York Lotus Leaf Kitchen & Bar,Vietnamese,New York,United States,31.69,35.21,3.52,11.11
23,20241028,2024-10-28,10,October,4,2024,2024-10,11,12,Banh Mi,Main Course,Vietnamese,1,1,2,New York Lotus Leaf Kitchen & Bar,Vietnamese,New York,United States,43.07,46.14,3.07,7.13
24,20260804,2026-08-04,8,August,3,2026,2026-08,11,12,Banh Mi,Main Course,Vietnamese,1,1,2,New York Lotus Leaf Kitchen & Bar,Vietnamese,New York,United States,46.14,51.27,5.13,11.12
25,20250422,2025-04-22,4,April,2,2025,2025-04,12,13,Fresh Spring Rolls,Specialty,Vietnamese,1,1,2,New York Lotus Leaf Kitchen & Bar,Vietnamese,New York,United States,37.39,45.76,8.37,22.39
26,20260629,2026-06-29,6,June,2,2026,2026-06,12,13,Fresh Spring Rolls,Specialty,Vietnamese,1,1,2,New York Lotus Leaf Kitchen & Bar,Vietnamese,New York,United States,45.76,49.2,3.44,7.52
27,20240917,2024-09-17,9,September,3,2024,2024-09,13,14,Bun Cha,Specialty,Vietnamese,1,1,2,New York Lotus Leaf Kitchen & Bar,Vietnamese,New York,United States,56.69,56.06,-0.63,-1.11
28,20251020,2025-10-20,10,October,4,2025,2025-10,13,14,Bun Cha,Specialty,Vietnamese,1,1,2,New York Lotus Leaf Kitchen & Bar,Vietnamese,New York,United States,56.06,63.7,7.64,13.63
29,20250514,2025-05-14,5,May,2,2025,2025-05,14,15,Vietnamese Iced Coffee,Dessert,Vietnamese,1,1,2,New York Lotus Leaf Kitchen & Bar,Vietnamese,New York,United States,57.75,64.09,6.34,10.98
30,20260507,2026-05-07,5,May,2,2026,2026-05,14,15,Vietnamese Iced Coffee,Dessert,Vietnamese,1,1,2,New York Lotus Leaf Kitchen & Bar,Vietnamese,New York,United States,64.09,70.43,6.34,9.89
31,20250416,2025-04-16,4,April,2,2025,2025-04,15,16,Grilled Lemongrass Pork,Dessert,Vietnamese,1,1,2,New York Lotus Leaf Kitchen & Bar,Vietnamese,New York,United States,45.72,50.81,5.09,11.13
32,20260521,2026-05-21,5,May,2,2026,2026-05,15,16,Grilled Lemongrass Pork,Dessert,Vietnamese,1,1,2,New York Lotus Leaf Kitchen & Bar,Vietnamese,New York,United States,50.81,56.45,5.64,11.1
33,20241019,2024-10-19,10,October,4,2024,2024-10,16,17,Vermicelli Bowl,Side Dish,Vietnamese,1,1,2,New York Lotus Leaf Kitchen & Bar,Vietnamese,New York,United States,44.74,50.9,6.16,13.77
34,20260504,2026-05-04,5,May,2,2026,2026-05,16,17,Vermicelli Bowl,Side Dish,Vietnamese,1,1,2,New York Lotus Leaf Kitchen & Bar,Vietnamese,New York,United States,50.9,55.93,5.03,9.88
35,20240921,2024-09-21,9,September,3,2024,2024-09,17,18,Vietnamese Pancake,Side Dish,Vietnamese,1,1,2,New York Lotus Leaf Kitchen & Bar,Vietnamese,New York,United States,58.34,58.34,0.0,0.0
36,20251006,2025-10-06,10,October,4,2025,2025-10,17,18,Vietnamese Pancake,Side Dish,Vietnamese,1,1,2,New York Lotus Leaf Kitchen & Bar,Vietnamese,New York,United States,58.34,66.29,7.95,13.63
37,20240910,2024-09-10,9,September,3,2024,2024-09,18,19,Egg Coffee,Beverage,Vietnamese,1,1,2,New York Lotus Leaf Kitchen & Bar,Vietnamese,New York,United States,49.91,60.02,10.11,20.26
38,20260302,2026-03-02,3,March,1,2026,2026-03,18,19,Egg Coffee,Beverage,Vietnamese,1,1,2,New York Lotus Leaf Kitchen & Bar,Vietnamese,New York,United States,60.02,63.18,3.16,5.26
39,20250725,2025-07-25,7,July,3,2025,2025-07,19,20,Green Papaya Salad,Beverage,Vietnamese,1,1,2,New York Lotus Leaf Kitchen & Bar,Vietnamese,New York,United States,30.15,32.73,2.58,8.56
40,20260806,2026-08-06,8,August,3,2026,2026-08,19,20,Green Papaya Salad,Beverage,Vietnamese,1,1,2,New York Lotus Leaf Kitchen & Bar,Vietnamese,New York,United States,32.73,36.77,4.04,12.34
41,20250430,2025-04-30,4,April,2,2025,2025-04,20,21,Feijoada,Main Course,Brazilian,1,2,3,London Samba Grill,Brazilian,London,United Kingdom,22.8,26.7,3.9,17.11
42,20260731,2026-07-31,7,July,3,2026,2026-07,20,21,Feijoada,Main Course,Brazilian,1,2,3,London Samba Grill,Brazilian,London,United Kingdom,26.7,30.0,3.3,12.36
