pedido_key,pedido_id,fecha_key,fecha,dia,nombre_dia,es_fin_de_semana,semana_anio,mes,nombre_mes,trimestre,anio,anio_mes,cliente_key,cliente_id,alias_cliente,hash_cliente,ciudad_cliente,pais_cliente,codigo_pais_cliente,fecha_registro_cliente,segmento_cliente,metodo_pago_preferido_cliente,cliente_activo,restaurante_key,restaurante_id,nombre_restaurante,cocina_restaurante,ciudad_restaurante,pais_restaurante,codigo_pais_restaurante,costo_promedio_dos_personas,nivel_rating_restaurante,tiene_delivery,tiene_comer_en_local,tiene_wifi,acepta_tarjeta,restaurante_activo,metodo_pago_key,metodo_pago,estado_key,estado_pedido,estado_completado,estado_es_incidencia,monto_total,tarifa_entrega,distancia_km,tiempo_entrega_minutos,multiplicador_hora_pico,calificacion_operativa,hubo_demora
1,1,20260825,2026-08-25,25,Tuesday,0,35,8,August,3,2026,2026-08,393,394,Cliente_000394,463CC34A43E8D2CC0DBE59FA3454F7ADA9326AE246AE33E7B35C3E6E3391774E,Mumbai,India,IN,2026-05-16,VIP,Cash,1,0,1,Bangalore Lotus Table,Chinese,Bangalore,India,IN,82,Bajo,1,1,1,1,1,4,Cash,1,Delivered,1,0,62.32,8.44,10.3,45.0,1.25,4.41,0
2,2,20260121,2026-01-21,21,Wednesday,0,4,1,January,1,2026,2026-01,2235,2236,Cliente_002236,430452A20530751CBBE89B0991C752F9EB4ED3F0ACC2A00FED792FFF6172929E,Salvador,Brazil,BR,2024-02-12,VIP,DebitCard,1,1,2,New York Lotus Leaf Kitchen & Bar,Vietnamese,New York,United States,US,145,Medio,1,0,1,1,1,1,CreditCard,2,Cancelled,0,1,72.5,11.94,15.9,62.0,1.25,3.38,1
3,3,20250522,2025-05-22,22,Thursday,0,21,5,May,2,2025,2025-05,3137,3138,Cliente_003138,FF1B5B1BA3E5805AAE00D0AB73831BE6F288D9494B54373A85F9FAD7B3288E66,London,United Kingdom,GB,2026-07-02,VIP,Wallet,1,2,3,London Samba Grill,Brazilian,London,United Kingdom,GB,105,Bajo,1,0,1,1,1,1,CreditCard,1,Delivered,1,0,68.25,5.56,5.7,35.0,1.25,3.86,0
4,4,20260224,2026-02-24,24,Tuesday,0,9,2,February,1,2026,2026-02,415,416,Cliente_000416,D33591E7A877DED895F199F4149422E777BD18ABE1111931DD047E57FA6A6504,Sao Paulo,Brazil,BR,2024-03-13,VIP,Cash,0,3,4,Sao Paulo Toro Garden,Spanish,Sao Paulo,Brazil,BR,103,Alto,1,0,0,1,1,4,Cash,1,Delivered,1,0,46.35,9.15,14.3,54.0,1.0,3.47,1
5,5,20260825,2026-08-25,25,Tuesday,0,35,8,August,3,2026,2026-08,1506,1507,Cliente_001507,2E7D4FA16A0A2F6A1F3F699283872A8D8724F5030E62D4937DA4CEA94D8E5223,Bangalore,India,IN,2025-12-16,VIP,CreditCard,1,4,5,Rio de Janeiro Masala Bistro,Indian,Rio de Janeiro,Brazil,BR,68,Medio,1,1,1,0,1,2,DebitCard,1,Delivered,1,0,72.08,11.0,18.0,54.42,1.0,3.41,1
6,6,20260821,2026-08-21,21,Friday,0,34,8,August,3,2026,2026-08,2138,2139,Cliente_002139,8E5163CB5AC55E8A5324D4BE4EB1724C49AAD2EC5E64DEED740ACDE653118682,Tokyo,Japan,JP,2026-03-05,Recurrente,CreditCard,1,5,6,Tokyo Opa Diner,Greek,Tokyo,Japan,JP,91,Medio,0,1,1,1,1,4,Cash,1,Delivered,1,0,123.76,5.19,5.1,45.0,1.25,4.44,0
7,7,20260427,2026-04-27,27,Monday,0,18,4,April,2,2026,2026-04,3862,3863,Cliente_003863,426C15BDE67FF8AC79C9C29F1A405E6A67C95D1411462DF44B4A14A32B319071,New York,United States,US,2025-09-09,VIP,Cash,1,6,7,New York Salsa Eatery,Mexican,New York,United States,US,33,Medio,0,1,0,1,1,4,Cash,1,Delivered,1,0,44.22,11.75,19.5,67.0,1.0,3.47,1
8,8,20260511,2026-05-11,11,Monday,0,20,5,May,2,2026,2026-05,4425,4426,Cliente_004426,C5BF6A5F8547741EC3878A92CAEC08D9CBDDE78BEC691F1934D2797AA1381552,Tokyo,Japan,JP,2025-01-29,VIP,DebitCard,0,7,8,Houston Seoul Corner,Korean,Houston,United States,US,80,Medio,1,0,1,1,1,2,DebitCard,2,Cancelled,0,1,78.4,8.0,12.0,41.0,1.0,4.44,0
9,9,20250917,2025-09-17,17,Wednesday,0,38,9,September,3,2025,2025-09,4223,4224,Cliente_004224,195DDA0D091BD55558C827F674D571A7BEA69B56031BA0A54577F049BF70A4EA,Tokyo,Japan,JP,2026-08-16,VIP,DebitCard,1,8,9,Tokyo Route 66 Place,American,Tokyo,Japan,JP,83,Alto,1,1,1,1,1,4,Cash,1,Delivered,1,0,118.69,4.78,3.7,47.0,1.5,2.54,1
10,10,20250430,2025-04-30,30,Wednesday,0,18,4,April,2,2025,2025-04,1956,1957,Cliente_001957,33895DBFC5C821667EA9108D3D18FB30402478F2C2DDCB648B1315AF8BE117C0,Tokyo,Japan,JP,2025-09-26,EnRiesgo,DebitCard,1,9,10,Tokyo Chateau House,French,Tokyo,Japan,JP,135,Medio,1,1,1,1,1,1,CreditCard,1,Delivered,1,0,122.85,13.25,18.0,61.0,1.25,2.95,1
11,11,20260716,2026-07-16,16,Thursday,0,29,7,July,3,2026,2026-07,3745,3746,Cliente_003746,3EBCC779A4875C906700BF5B158CF57FEFD8B0F9ABB0E9E6FBB363E4C71D0F41,Salvador,Brazil,BR,2025-05-11,Recurrente,Wallet,0,10,11,Salvador Koi Cafe,Japanese,Salvador,Brazil,BR,105,Medio,1,1,1,1,1,4,Cash,1,Delivered,1,0,64.05,14.19,19.5,68.0,1.25,3.18,1
12,12,20241115,2024-11-15,15,Friday,0,46,11,November,4,2024,2024-11,4027,4028,Cliente_004028,39DE2DDDFD38B0E0769B7B8171F33C7F24713A8A913F286A0AFDBC322C3FD9B0,Delhi,India,IN,2026-08-20,VIP,Cash,0,11,12,Bangalore Siam Kitchen,Thai,Bangalore,India,IN,60,Alto,1,1,1,1,1,1,CreditCard,3,Refunded,0,1,24.0,3.75,2.8,37.0,1.25,4.38,0
13,13,20260705,2026-07-05,5,Sunday,1,28,7,July,3,2026,2026-07,3895,3896,Cliente_003896,B3D1BA5A298014B1690B49B4F2292C78323301D4BE9720B523AAF6915B7944D6,Mumbai,India,IN,2024-02-07,VIP,DebitCard,1,12,13,Mumbai Nonna Table,Italian,Mumbai,India,IN,79,Bajo,0,1,1,1,1,4,Cash,1,Delivered,1,0,31.6,2.9,1.2,42.0,1.5,4.13,0
14,14,20250716,2025-07-16,16,Wednesday,0,29,7,July,3,2025,2025-07,1330,1331,Cliente_001331,F5CC6189524FD76EEBEBFA6C5C409F3969DB017AC4577D29596B1D730E1E663D,Mumbai,India,IN,2025-04-04,VIP,Cash,1,13,14,Delhi Cedar Kitchen & Bar,Mediterranean,Delhi,India,IN,48,Medio,1,1,0,1,1,2,DebitCard,1,Delivered,1,0,66.72,6.2,8.4,53.0,1.0,3.07,1
15,15,20260521,2026-05-21,21,Thursday,0,21,5,May,2,2026,2026-05,1862,1863,Cliente_001863,BF88D4090855B805DC3AF68904C46FD603EE978FA6C325E234544B7CBD3E3481,London,United Kingdom,GB,2023-11-13,VIP,Cash,0,14,15,London Casbah Grill,Middle Eastern,London,United Kingdom,GB,147,Alto,1,1,1,1,1,1,CreditCard,1,Delivered,1,0,124.95,3.63,2.6,34.0,1.25,4.23,0
16,16,20260507,2026-05-07,7,Thursday,0,19,5,May,2,2026,2026-05,160,161,Cliente_000161,F130A444F933BB60EC2BE2A82711A54F75F1235C7B0B22AA938A1755AD9C7086,Houston,United States,US,2025-01-27,VIP,Cash,1,15,16,Houston Golden Dragon Garden,Chinese,Houston,United States,US,57,Bajo,1,1,1,0,1,1,CreditCard,1,Delivered,1,0,39.33,2.94,1.5,32.0,1.25,4.43,0
17,17,20260307,2026-03-07,7,Saturday,1,10,3,March,1,2026,2026-03,1281,1282,Cliente_001282,07CC3397DA345CA318CD1E1B9D073AE920AED654861D74C3DBBF4D414D80D9C8,Osaka,Japan,JP,2024-07-19,VIP,Wallet,0,16,17,Osaka Saigon Bistro,Vietnamese,Osaka,Japan,JP,143,Medio,0,1,1,1,1,3,Wallet,1,Delivered,1,0,114.4,7.44,8.7,42.0,1.25,4.19,0
