resena_key,pedido_id,fecha_key,fecha,dia,nombre_dia,es_fin_de_semana,semana_anio,mes,nombre_mes,trimestre,anio,anio_mes,cliente_key,cliente_id,alias_cliente,ciudad_cliente,pais_cliente,segmento_cliente,restaurante_key,restaurante_id,nombre_restaurante,cocina_restaurante,ciudad_restaurante,pais_restaurante,nivel_rating_restaurante,calificacion,tiene_comentario,comentario
1,11,20260720,2026-07-20,20,Monday,0,30,7,July,3,2026,2026-07,3745,3746,Cliente_003746,Salvador,Brazil,Recurrente,10,11,Salvador Koi Cafe,Japanese,Salvador,Brazil,Medio,2.4,0,
2,18,20250804,2025-08-04,4,Monday,0,32,8,August,3,2025,2025-08,104,105,Cliente_000105,Chennai,India,VIP,17,18,Chennai Copacabana Diner,Brazilian,Chennai,India,Alto,3.8,0,
3,21,20251217,2025-12-17,17,Wednesday,0,51,12,December,4,2025,2025-12,3534,3535,Cliente_003535,London,United Kingdom,VIP,20,21,London Meze Place,Greek,London,United Kingdom,Medio,4.9,1,Consistently good quality.
4,22,20251026,2025-10-26,26,Sunday,1,44,10,October,4,2025,2025-10,1392,1393,Cliente_001393,Tokyo,Japan,EnRiesgo,21,22,Yokohama Chile House,Mexican,Yokohama,Japan,Medio,3.0,0,
5,23,20260418,2026-04-18,18,Saturday,1,16,4,April,2,2026,2026-04,2634,2635,Cliente_002635,Hyderabad,India,VIP,22,23,Hyderabad Hallyu Cafe,Korean,Hyderabad,India,Bajo,3.6,1,"It was fine, some items were cold."
6,25,20260828,2026-08-28,28,Friday,0,35,8,August,3,2026,2026-08,2896,2897,Cliente_002897,Salvador,Brazil,VIP,24,25,Salvador Rive Gauche Table,French,Salvador,Brazil,Alto,3.0,1,"Average experience, nothing special."
7,27,20250921,2025-09-21,21,Sunday,1,39,9,September,3,2025,2025-09,1999,2000,Cliente_002000,Hyderabad,India,VIP,26,27,Hyderabad Basil Grill,Thai,Hyderabad,India,Alto,3.4,0,
8,28,20260322,2026-03-22,22,Sunday,1,13,3,March,1,2026,2026-03,342,343,Cliente_000343,Houston,United States,Recurrente,27,28,Houston Roma Garden,Italian,Houston,United States,Alto,2.6,0,
9,30,20260806,2026-08-06,6,Thursday,0,32,8,August,3,2026,2026-08,4366,4367,Cliente_004367,Sao Paulo,Brazil,VIP,29,30,Sao Paulo Spice Route Diner,Middle Eastern,Sao Paulo,Brazil,Bajo,3.4,1,"Average experience, nothing special."
10,35,20250919,2025-09-19,19,Friday,0,38,9,September,3,2025,2025-09,1686,1687,Cliente_001687,Sao Paulo,Brazil,VIP,34,35,Sao Paulo Tandoor Cafe,Indian,Sao Paulo,Brazil,Alto,3.9,1,"Food was okay, delivery took a while."
11,37,20260309,2026-03-09,9,Monday,0,11,3,March,1,2026,2026-03,457,458,Cliente_000458,Bangalore,India,VIP,36,37,Bangalore Frontera Table,Mexican,Bangalore,India,Bajo,3.8,1,"It was fine, some items were cold."
12,43,20250409,2025-04-09,9,Wednesday,0,15,4,April,2,2025,2025-04,2281,2282,Cliente_002282,Fortaleza,Brazil,VIP,42,43,Hyderabad Bella Eatery,Italian,Hyderabad,India,Medio,2.6,1,"Average experience, nothing special."
13,45,20260525,2026-05-25,25,Monday,0,22,5,May,2,2026,2026-05,4041,4042,Cliente_004042,Chicago,United States,VIP,44,45,Chicago Aleppo Place,Middle Eastern,Chicago,United States,Bajo,2.2,1,Delivery was very delayed.
14,46,20260630,2026-06-30,30,Tuesday,0,27,6,June,2,2026,2026-06,5582,5583,Cliente_005583,London,United Kingdom,Recurrente,45,46,Tokyo Dynasty House,Chinese,Tokyo,Japan,Alto,1.6,1,Order arrived late and cold.
